trip_id,arrival_time,departure_time,stop_id,stop_sequence
T1,08:00:00,08:00:00,S1,1
T1,08:05:00,08:05:00,S2,2
T1,08:10:00,08:10:00,S3,3
T1,08:15:00,08:15:00,S4,4
T2,09:00:00,09:00:00,S4,1
T2,09:05:00,09:05:00,S3,2
T2,09:10:00,09:10:00,S2,3
T2,09:15:00,09:15:00,S1,4
T3,10:00:00,10:00:00,S5,1
T3,10:08:00,10:08:00,S6,2
T3,10:15:00,10:15:00,S7,3
T4,11:00:00,11:00:00,S8,1
T4,11:05:00,11:05:00,S2,2
T4,11:10:00,11:10:00,S9,3
T5,12:00:00,12:00:00,S9,1
T5,12:05:00,12:05:00,S2,2
T5,12:10:00,12:10:00,S8,3
